Name or Synonym,RID,Parent RID
focused grid,RID10535,RID10534
parallel grid,RID10536,RID10534
criss-cross grid,RID10537,RID10534
moving grid,RID10538,RID10534
fixed grid,RID10539,RID10534
radiography filter,RID10540,RID10510
compensation filter,RID10541,RID10540
wedge filter,RID10542,RID10540
beam-shaping filter,RID10543,RID10540
radiation exposure measure,RID10544,RID10510
entrance skin exposure,RID10545,RID10544
entrance air KERMA,RID10547,RID10544
dose area product,RID10549,RID10544
KERMA area product,RID10551,RID10544
radiation dose estimate,RID10553,RID10544
entrance skin dose,RID10554,RID10553
cross-sectional procedure attribute,RID10555,RID35976
scanning direction,RID10556,RID10555
cephalocaudad,RID10557,RID10556
caudocephalad,RID10558,RID10556
scan trigger method,RID10559,RID10555
fixed delay scan,RID10560,RID10559
automatic bolus tracking,RID10562,RID10559
site of region of interest for measuring contrast enhancement,RID10563,RID34578
monitoring delay,RID10564,RID34578
interval for monitoring scans,RID10565,RID34578
threshold enhancement for trigger,RID10566,RID34578
upper limit trigger time,RID10567,RID34578
test bolus technique,RID10568,RID10559
CT procedure attribute,RID10581,RID10555
CT exposure control method,RID10582,RID10581
angular tube current modulation,RID10583,RID10582
longitudinal tube current modulation,RID10584,RID10582
angular longitudinal tube current modulation,RID10586,RID10582
CT detector configuration,RID10588,RID10581
multi-detector row configuration,RID10589,RID10588
single-detector row configuration,RID10593,RID10588
flat panel detector configuration,RID10596,RID10588
CT detector,RID10597,RID29033
Xenon ionization chamber,RID10598,RID10597
solid-state crystal scintillation detector,RID10599,RID10597
solid-state ceramic scintillation detector,RID10600,RID10597
CT motion mode,RID10601,RID10581
stationary,RID10602,RID10601
rotating,RID10603,RID10601
translation,RID10604,RID10601
scanning electron beam,RID10605,RID10601
CT scan mode,RID10606,RID10581
CT projection radiograph,RID10607,RID10606
helical scan mode,RID10613,RID10606
axial scan mode,RID10615,RID10606
dynamic CT attribute,RID10618,RID10555
CT reconstruction method,RID10620,RID10618
analytical reconstruction,RID10621,RID10620
approximate reconstruction,RID10622,RID10621
exact reconstruction,RID10623,RID10621
iterative reconstruction,RID10624,RID10620
CT reconstruction filter,RID10625,RID10618
smooth kernel,RID10626,RID10625
sharp kernel,RID10632,RID10625
MR procedure attribute,RID10638,RID10555
MR coil geometry,RID10639,RID10638
birdcage coil,RID10640,RID10639
solenoid coil,RID10641,RID10639
planar surface coil,RID10642,RID10639
chimney coil,RID10644,RID10639
butterfly coil,RID10645,RID10639
saddle coil,RID10646,RID10639
single turn solenoid coil,RID10647,RID10639
Helmholtz coil,RID10649,RID10639
TEM coil,RID10651,RID10639
Litz coil,RID10652,RID10639
antenna coil,RID10653,RID10639
MR coil transmission mode,RID10654,RID10638
linear transmission mode,RID10655,RID10654
