Name or Synonym,RID,Parent RID
patient gender,RID13164,RID13159
patient ethnicity,RID13165,RID13159
clinical information section,RID13166,RID28481
comparison report,RID13168,RID28484
comparison image,RID13169,RID28484
impression section,RID13170,RID28481
normal,RID13173,RID29001
language of term,RID13175,RID35977
English,RID13176,RID13175
Latin,RID13177,RID13175
German,RID13178,RID13175
normal variant,RID13212,RID13390
globular,RID13428,RID5863
diameter,RID13432,RID10409
subcentimeter,RID13433,RID5772
subpleural region,RID13434,RID6062
caliber,RID13440,RID5772
non-diagnostic quality,RID14,RID10
procedure,RID1559,RID1
surgical procedure,RID1560,RID8
cardiovascular surgery,RID1561,RID1560
cardiac transplantation,RID1562,RID1561
pediatric cardiac surgery,RID1563,RID1561
palliative pediatric cardiac surgery,RID1564,RID1563
Glenn shunt,RID1565,RID1564
benign,RID15654,RID5675
malignant,RID15655,RID5675
Blalock-Taussig shunt,RID1566,RID1564
Waterston shunt,RID1567,RID1564
pediatric cardiac operative repair,RID1568,RID1563
Norwood procedure,RID1569,RID1568
arterial switch,RID1570,RID1568
Fontan procedure,RID1571,RID1568
right-ventricle-to-pulmonary artery conduit,RID1572,RID1568
ear surgery,RID1573,RID1560
placement of total ossicular replacement,RID1574,RID1573
placement of partial ossicular replacement,RID1576,RID1573
placement of stapes prostheses,RID1578,RID1576
placement of tympanostomy tube,RID1579,RID1573
tympanoplasty,RID1580,RID1573
esophagus surgery,RID1581,RID7468
Angelchik antireflux prosthesis,RID1582,RID1581
cricopharyngeal myotomy,RID1583,RID1581
colonic interposition,RID1584,RID1581
Obsolete Radlex Term,RID15849,RID0
diverticulectomy,RID1585,RID1581
endoscopic laser therapy,RID1586,RID1581
esophageal bougienage,RID1587,RID1581
esophageal dilatation,RID1588,RID1581
esophageal intubation,RID1589,RID1581
esophageal replacement with gastric jejunal or colonic graft,RID1590,RID1581
esophageal varices therapy,RID1591,RID1581
balloon tamponade with Sengstaken-Blakemore tube,RID1592,RID1591
endoscopic sclerotherapy,RID1593,RID1591
variceal banding,RID1594,RID1591
transjugular intrahepatic portal-systemic shunt,RID1595,RID1591
portal-systemic shunt surgery,RID1597,RID1591
esophageal devascularization procedures,RID1598,RID1591
teaching descriptor,RID16,RID35977
esophagectomy,RID1600,RID1581
esophagogastrectomy,RID1601,RID1581
gastroesophageal anastomosis,RID1602,RID1581
Heller myotomy,RID1604,RID1581
intramuscular injection of botulinum toxin,RID1606,RID1581
laryngectomy,RID1607,RID1581
stomach surgery,RID1608,RID7468
antrectomy,RID1609,RID1608
bariatric surgery,RID1610,RID1608
adjustable gastric band,RID1611,RID1610
horizontal gastroplasty,RID1612,RID1610
vertical-banded gastroplasty,RID1613,RID1610
gastric bypass,RID1615,RID1610
biliopancreatic bypass,RID1616,RID1610
gastric banding,RID1617,RID1610
gastric bubble and balloon,RID1618,RID1610
duodenal switch,RID1619,RID1610
Billroth I procedure,RID1620,RID1608
Billroth II procedure,RID1621,RID1608
Collis gastroplasty,RID1622,RID1608
cystogastrostomy,RID1623,RID1608
pyloric exclusion,RID1624,RID1608
gastric pouch,RID1625,RID1608
gastric pull-through,RID1626,RID1608
gastric resection,RID1627,RID1608
gastric stump carcinoma,RID1629,RID1608
gastroduodenostomy,RID1630,RID1608
gastroenterostomy,RID1631,RID1608
gastrojejunostomy,RID1632,RID1608
gastropexy,RID1633,RID1608
gastrostomy,RID1634,RID1608
Nissen fundoplication,RID1635,RID1608
pyloroplasty,RID1636,RID1608
pyloromyotomy,RID1637,RID1608
roux-en-Y gastric bypass with retrogastric/retrocolic anastomosis,RID1638,RID1608
vagotomy,RID1639,RID1608
liver surgery,RID1640,RID7470
hepatectomy,RID1641,RID1640
hepatic lobectomy,RID1642,RID1640
hepatic segmentectomy,RID1643,RID1640
hepatic subsegmentectomy,RID1644,RID1640
hepatic trisegmentectomy,RID1645,RID1640
hepatic wedge excision,RID1646,RID1640
chemoembolization,RID1647,RID10404
transplantation,RID1649,RID1560
spleen surgery,RID1650,RID1560
segmental resection and repair,RID1651,RID1650
splenectomy,RID1652,RID1650
splenorrhaphy,RID1653,RID1650
pancreas surgery,RID1654,RID7470
pancreatic transplantation,RID1655,RID1654
pancreatic nucleation,RID1656,RID1654
pancreaticoduodenectomy,RID1657,RID1654
pancreatectomy,RID1658,RID1654
direct pancreatic ductal drainage,RID1659,RID1654
Pylorus-sparing Whipple procedure,RID1661,RID1654
tumor enucleation,RID1662,RID1560
Beger Procedure,RID1663,RID1654
Frey procedure,RID1664,RID1654
pancreatic sparing duodenectomy,RID1666,RID1654
cyst-gastrostomy,RID1667,RID1654
exocrine anastomotic leak,RID1668,RID1654
gallbladder or bile duct surgery,RID1669,RID7470
cholecystectomy,RID1670,RID1669
cholecystostomy,RID1671,RID1669
dropped gallstones,RID1672,RID1669
extraction of biliary calculi,RID1673,RID1669
sphincterotomy,RID1674,RID1669
T tube placement,RID1675,RID1669
bile-duct exploration,RID1676,RID1675
biliary-enteric anastomosis,RID1677,RID1669
biliopancreatic diversion,RID1678,RID1677
biliopancreatic diversion with duodenal switch,RID1679,RID1677
biliary bypass procedure,RID1680,RID1669
cholecystojejunostomy,RID1681,RID1680
choledochocholedochostomy,RID1682,RID1680
choledochoduodenostomy,RID1683,RID1680
choledochojejunostomy,RID1684,RID1680
hepaticojejunostomy,RID1685,RID1680
small bowel surgery,RID1686,RID7468
blind pouch,RID1687,RID1686
blind loop,RID1688,RID1686
enteroenteric anastomosis,RID1689,RID1686
enterectomy,RID1690,RID1686
Enterotomy,RID1691,RID1686
enterostomy,RID1692,RID1686
ileostomy,RID1693,RID1692
jejunostomy,RID1694,RID1692
gastroileostomy,RID1695,RID1692
ileal reservoir,RID1696,RID1686
continent ileostomy reservoir,RID1697,RID1696
Kock pouch,RID1698,RID1697
perceptual difficulty,RID17,RID16
ileoanal pouch,RID1700,RID1697
J pouch,RID1701,RID1700
S pouch,RID1702,RID1700
side-to-side pouch,RID1703,RID1700
jejunoileal bypass,RID1705,RID1686
plication,RID1706,RID1686
small bowel transplantation,RID1707,RID1686
stricturoplasty,RID1708,RID1686
cystojejunostomy,RID1709,RID1686
colon surgery,RID1710,RID7468
appendectomy,RID1711,RID1710
cecostomy,RID1712,RID1710
colonic resection,RID1713,RID1710
segmental colonic resection,RID1714,RID1713
anterior resection,RID1715,RID1713
low anterior resection,RID1716,RID1713
abdominoperineal resection,RID1717,RID1713
right hemicolectomy,RID1718,RID1713
left hemicolectomy,RID1719,RID1713
total colectomy,RID1720,RID1713
total proctocolectomy,RID1721,RID1713
subtotal colectomy,RID1722,RID1713
colostomy,RID1723,RID1710
end colostomy,RID1724,RID1723
loop colostomy,RID1725,RID1723
double-barreled colostomy,RID1726,RID1723
end colostomy with a mucous fistula,RID1727,RID1723
Hartmann pouch,RID1728,RID1710
bowel anastomosis,RID1729,RID1710
ileoanal pull-through,RID1730,RID1729
coloanal pull-through,RID1731,RID1729
ileocecectomy,RID1732,RID1729
ileosigmoid anastomosis,RID1733,RID1729
ileotransverse anastomosis,RID1734,RID1729
coloanal anastomosis,RID1735,RID1729
mucous fistula,RID1736,RID1710
polypectomy,RID1737,RID1710
uretero-sigmoid anastomosis,RID1738,RID1710
omental or mesenteric surgery,RID1739,RID1560
omentectomy,RID1740,RID1739
abdominal wall surgery,RID1741,RID1560
abdominoplasty,RID1742,RID1741
herniorrhaphy,RID1743,RID1741
kidney surgery,RID1744,RID7469
nephrectomy,RID1745,RID1744
nephrostomy,RID1746,RID1744
pyeloplasty,RID1747,RID1744
renal autotransplantation,RID1749,RID1744
percutaneous nephrostolithotomy,RID1750,RID1744
nephroureterectomy,RID1751,RID1744
nephropexy,RID1752,RID1744
nephrolitholapaxy,RID1753,RID1744
cryoablation,RID1754,RID10397
adrenal surgery,RID1755,RID7469
adrenalectomy,RID1756,RID1755
ureter surgery,RID1757,RID7469
ureterostomy,RID1758,RID1757
ureterocalycostomy,RID1759,RID1757
transuretero ureterostomy,RID1760,RID1757
ileal ureter construction,RID1761,RID1757
ureterectomy,RID1762,RID1757
ureteroneocystostomy,RID1763,RID1757
ureteral reimplantation,RID1764,RID1757
ureterolysis,RID1765,RID1757
endopyelotomy,RID1766,RID1757
bladder surgery,RID1767,RID7469
augmentation cystoplasty,RID1768,RID1767
partial cystectomy,RID1769,RID1767
cystoprostatectomy,RID1770,RID1767
cystectomy,RID1771,RID1767
Boari flap,RID1772,RID1767
psoas hitch,RID1773,RID1767
cystotomy,RID1774,RID1767
vesicostomy,RID1775,RID1767
cystodiathermy of tumor,RID1776,RID1767
urinary diversion,RID1777,RID7469
ileal conduit,RID1778,RID1777
colon loop diversion,RID1779,RID1777
Studer pouch,RID1780,RID1777
Indiana pouch,RID1783,RID1777
ureterosigmoidostomy,RID1784,RID1777
perineal urethrostomy,RID1785,RID1777
urethral surgery,RID1786,RID7469
urethroplasty,RID1787,RID1786
epispadias repair,RID1788,RID1786
hypospadias repair,RID1789,RID1786
urethrectomy,RID1790,RID1786
internal urethrotomy,RID1791,RID1786
urethrostomy,RID1792,RID1786
prostate surgery,RID1793,RID7469
prostatectomy,RID1794,RID1793
androgen ablation therapy,RID1795,RID10397
cryosurgical ablation,RID1796,RID10397
prostatotomy,RID1797,RID1793
testis vas deferens or seminal vesicle surgery,RID1798,RID7469
orchiectomy,RID1799,RID1798
basic perceptual difficulty,RID18,RID17
testicular prosthesis,RID1800,RID1798
orchiopexy,RID1801,RID1798
orchioplasty,RID1802,RID1798
orchiotomy,RID1803,RID1798
varicocelectomy,RID1804,RID1798
vasectomy,RID1805,RID1798
transvesical seminal vesiculostomy,RID1806,RID1798
seminal vesiculectomy,RID1807,RID1798
lymph node surgery,RID1808,RID1560
lymph node dissection,RID1809,RID1808
lymphadenectomy,RID1810,RID1808
ovaries or adnexal surgery,RID1811,RID7469
salpingo-oophorectomy,RID1812,RID1811
ovarian autotransplantation,RID1813,RID1811
salpingoplasty,RID1814,RID1811
Fallopian tube recanalization,RID1815,RID1811
uterus surgery,RID1816,RID7469
uterine artery embolization,RID1817,RID1816
dilation and curettage,RID1818,RID1816
dilation and evacuation,RID1820,RID1816
myomectomy,RID1822,RID1816
Cesarean section,RID1823,RID1816
abortion,RID1825,RID1816
hysterectomy,RID1826,RID1816
endometrectomy,RID1827,RID1816
endometriomectomy,RID1828,RID1816
vaginal or labial surgery,RID1829,RID7469
vaginectomy,RID1830,RID1829
vaginoplasty,RID1831,RID1829
episiotomy,RID1832,RID1829
labioplasty,RID1833,RID1829
hymenoplasty,RID1834,RID1829
vaginal delivery,RID1836,RID1829
orthopedic surgery,RID1837,RID1560
fracture augmentation,RID1838,RID1837
vertebroplasty,RID1839,RID49776
kyphoplasty,RID1840,RID49776
fracture fixation,RID1841,RID1837
osteotomy,RID1842,RID1837
joint reconstruction,RID1843,RID1837
arthrodesis,RID1844,RID1837
arthroplasty,RID1845,RID1837
unicompartmental arthroplasty,RID1846,RID1845
hemiarthroplasty,RID1847,RID1845
bone grafting,RID1848,RID1837
radiofrequency ablation,RID1849,RID10397
intermediate perceptual difficulty,RID19,RID17
advanced perceptual difficulty,RID20,RID17
analytical difficulty,RID21,RID16
basic analytical difficulty,RID22,RID21
intermediate analytical difficulty,RID23,RID21
advanced analytic difficulty,RID24,RID21
representativeness,RID25,RID16
typical,RID26,RID25
atypical,RID27,RID25
mimics another entity,RID28,RID25
abnormal,RID28453,RID29001
none,RID28454,RID5761
almost certainly not,RID28471,RID29
present,RID28472,RID5761
absent,RID28473,RID5761
yes,RID28474,RID29
no,RID28475,RID29
report section,RID28481,RID13158
imaging technique section,RID28482,RID28481
comparison section,RID28483,RID28481
report section component,RID28484,RID13158
report header,RID28485,RID13158
observations section,RID28486,RID28481
report,RID28487,RID1
heterogenously echogenic,RID28488,RID6045
cerebral blood volume map,RID28489,RID12706
time-to-peak map,RID28490,RID12706
trace of diffusion tensor reconstruction,RID28491,RID12697
count,RID28492,RID10409
bronchocentric,RID28500,RID6062
centrilobular,RID28505,RID5817
image acquisition error,RID28543,RID11254
exposure error,RID28544,RID28543
cholangiography,RID28548,RID13060
enterography,RID28549,RID13060
portography,RID28550,RID13060
urography,RID28551,RID13060
acute flexion position,RID28552,RID10429
decubitus bilateral position,RID28553,RID10423
left rotation position,RID28558,RID10432
neutral rotation position,RID28560,RID10432
right rotation position,RID28561,RID10432
left bending position,RID28562,RID10448
modified prone position,RID28564,RID10420
right bending position,RID28565,RID10448
supine lateral position,RID28567,RID10421
extension and fan lateral position,RID28603,RID10427
interoperative,RID28604,RID10382
axial rolled projection,RID28611,RID10511
axiolateral oblique projection,RID28612,RID10511
dorsoplantar projection,RID28614,RID10511
inferomedial to superolateral axial projection,RID28616,RID10511
lateral left projection,RID28617,RID10511
lateral right projection,RID28618,RID10511
modified parietoacanthial projection,RID28621,RID10511
posterior profile projection,RID28623,RID10511
posteroanterior tangential projection,RID28624,RID10511
posteroanterior projection,RID28625,RID10511
submentovertex projection,RID28629,RID10511
superolateral to inferomedial axial projection,RID28630,RID10511
tangential projection,RID28632,RID10511
transoral projection,RID28633,RID10511
transthoracic lateral projection,RID28634,RID10511
verticosubmental projection,RID28635,RID10511
orbitoparietal oblique projection,RID28637,RID10511
imaging technique descriptor,RID28642,RID6
axillary tail,RID28643,RID28642
cleavage,RID28644,RID28642
diamox,RID28645,RID7478
direct coronal,RID28646,RID28642
inspiration expiration maneuver,RID28650,RID10494
magnification,RID28651,RID28642
nipple markers,RID28652,RID28642
orthogonal,RID28653,RID28642
roll lateral,RID28654,RID28642
roll medial,RID28655,RID28642
secretin,RID28656,RID28642
spot compression,RID28657,RID28642
under stress,RID28658,RID28667
triphase,RID28659,RID38747
acquisition,RID28660,RID10370
attenuation,RID28662,RID10370
cardresp gated,RID28663,RID11246
localizer,RID28664,RID10370
reconstruction,RID28665,RID11221
patient state,RID28667,RID7480
volume,RID28668,RID10409
slice thickness,RID28669,RID10409
slab,RID28670,RID28669
thickness descriptor,RID28671,RID6
thick,RID28672,RID28671
thin,RID28673,RID28671
cervical spine region,RID28674,RID36013
lumbar spine region,RID28675,RID36013
sacral spine region,RID28676,RID36013
thoracic spine region,RID28677,RID36013
pituitary region,RID28679,RID6062
perirectal region,RID28680,RID6062
angio time,RID28681,RID10370
cardiac region,RID28682,RID6062
flow-encoded,RID28683,RID10370
fluid-attenuated,RID28684,RID10370
image addition,RID28685,RID10370
max IP,RID28687,RID10370
metabolite map,RID28688,RID10370
multiecho,RID28690,RID10370
non-parallel,RID28691,RID10370
parallel,RID28692,RID5851
phase-subtract,RID28693,RID10370
post-contrast,RID28694,RID39330
real-time,RID28695,RID10370
motion,RID28696,RID39128
phase,RID28698,RID35977
short tau inversion recovery,RID28699,RID10370
velocity,RID28700,RID10409
min IP,RID28701,RID10370
temperature,RID28702,RID35977
time-of-flight,RID28703,RID10370
densitometry,RID28706,RID48094
device placement procedure,RID28707,RID10413
localization,RID28708,RID1559
petromastoid region,RID28718,RID6062
adrenal region,RID28722,RID6062
cervicothoracic spine region,RID28726,RID36013
imaging without IV contrast,RID28768,RID13060
imaging with IV contrast,RID28769,RID39045
intrathecal contrast,RID28770,RID49732
imaging without then with IV contrast,RID28771,RID13060
parietoacanthial projection,RID28777,RID10511
parietoorbital oblique projection,RID28778,RID10511
plantodorsal projection,RID28779,RID10511
constant angle kernel,RID28780,RID28903
acanthioparietal projection,RID28781,RID10511
anterior profile projection,RID28782,RID10511
anterolateral projection,RID28783,RID10511
anteroposterior projection,RID28784,RID10511
anteroposterior oblique projection,RID28785,RID10511
anteroposterior tangential projection,RID28786,RID10511
posteroanterior oblique projection,RID28788,RID10511
fiducial,RID28789,RID5429
implant,RID28790,RID5429
shunt tubing,RID28791,RID5555
calcium score,RID28808,RID10409
CSF flow,RID28809,RID13035
determine device status,RID28810,RID38607
donor,RID28811,RID5638
function,RID28812,RID35977
leg length,RID28813,RID39123
preoperative,RID28815,RID39331
quality control,RID28816,RID1559
screening,RID28817,RID38607
screening with implant,RID28818,RID28817
skeletal survey,RID28819,RID13060
ventriculostomy,RID28820,RID1559
viability,RID28821,RID35977
vascular region,RID28822,RID6062
prosthesis,RID28823,RID5429
morphology,RID28825,RID35977
tagging,RID28826,RID10673
joint survey,RID28828,RID13060
modulus,RID28831,RID28642
proton-density,RID28832,RID10370
pre-contrast,RID28833,RID39331
report footer,RID28835,RID13158
body rotation maneuver,RID28838,RID10464
tomography,RID28840,RID10311
intraoral region,RID28841,RID6062
injection,RID28842,RID11087
kernel,RID28903,RID11221
bone kernel,RID28904,RID28903
brain kernel,RID28905,RID28903
lung kernel,RID28906,RID28903
MR acquisition,RID28914,RID29009
volume acquisition,RID28915,RID28914
imaging acquisition,RID28917,RID35976
spectroscopy acquisition,RID28918,RID28914
nuclear imaging acquisition,RID28933,RID29009
physiological rest,RID28947,RID10464
perfusion acquisition,RID28948,RID28914
fluoroscopy acquisition,RID28949,RID28914
resp-gated acquisition,RID28950,RID28914
cardresp-gated acquisition,RID28951,RID28914
cardiac-gated acquisition,RID28952,RID28914
cardiac acquisition,RID28953,RID28914
soft tissue kernel,RID28962,RID28903
wire tip,RID28998,RID29039
applicator,RID28999,RID29033
certainty descriptor,RID29,RID6
needle tip,RID29000,RID29039
normality descriptor,RID29001,RID6
detector head position,RID29003,RID10934
CT device,RID29004,RID29037
flow direction descriptor,RID29005,RID6
needle sheath,RID29006,RID29039
filter,RID29007,RID29033
fluoroscopy image capture mode,RID29008,RID29009
image acquisition mode,RID29009,RID35976
chemotherapy reconstitution method,RID29010,RID11005
collimator energy rating,RID29011,RID10934
microbubble transpulmonary characteristics,RID29013,RID11005
vascular flow measurement mode,RID29014,RID10409
nuclear imaging data acquisition mode,RID29015,RID29009
angiography image acquisition mode,RID29017,RID29009
transducer,RID29019,RID29033
source quantity type,RID29020,RID10581
image interpretation mode,RID29021,RID35976
energy applied to multiple fibers,RID29022,RID11005
laser tip,RID29024,RID29039
superimposed image,RID29025,RID11221
injector,RID29026,RID29033
pharmacological thrombolysis delivery method,RID29027,RID11005
current delivery,RID29028,RID11005
bowel contrast,RID29029,RID49732
dilator,RID29030,RID29033
voxel geometry,RID29031,RID11221
attenuation correction method,RID29032,RID11221
medical device,RID29033,RID29038
biopsy instrument,RID29034,RID29033
SPECT arc,RID29035,RID10934
table-to-detector-head translation,RID29036,RID10934
imaging device,RID29037,RID29033
medical object,RID29038,RID34861
portion of medical device,RID29039,RID29038
French,RID29040,RID13175
disease progression,RID29041,RID4736
MR device,RID29054,RID29037
nuclear imaging device,RID29055,RID29037
laser crystal,RID29056,RID29033
width descriptor,RID29057,RID6
titanium interbody spacer,RID29106,RID5466
coarse calcification,RID29213,RID49675
amorphous calcification,RID29214,RID49676
anatomical entity,RID3,RID1
definitely,RID31,RID29
probably,RID33,RID29
possibly,RID34,RID29
high density,RID34240,RID6041
low density,RID34243,RID6041
regional,RID34260,RID5958
predominantly fatty,RID34273,RID5738
scattered fibroglandular densities,RID34274,RID5738
heterogeneously dense,RID34275,RID34240
extremely dense,RID34276,RID34240
circumscribed,RID34279,RID38770
microlobulated,RID34280,RID5863
obscured,RID34282,RID38770
indistinct,RID34283,RID38770
spiculated,RID34284,RID5863
coarse,RID34285,RID5863
dystrophic,RID34286,RID5657
eggshell,RID34287,RID5863
large rod-like,RID34288,RID5863
lucent-centered,RID34289,RID5863
polygonal,RID34291,RID5863
fine linear,RID34292,RID5863
coarse heterogeneous,RID34293,RID5863
fine pleomorphic,RID34294,RID5863
secretory,RID34295,RID5657
marked,RID34299,RID5683
abnormal signal void,RID34321,RID11273
clip artifact,RID34323,RID11313
susceptibility artifact,RID34324,RID11296
initial enhancement phase,RID34325,RID11079
speed descriptor,RID34327,RID6
slow,RID34328,RID34327
rapid,RID34329,RID34327
persistent,RID34330,RID5716
persistent delayed phase,RID34331,RID11081
plateau delayed phase,RID34332,RID11081
washout delayed phase,RID34333,RID11081
plateau,RID34334,RID5863
symmetry,RID34343,RID35977
gently lobulated,RID34351,RID5863
angular,RID34356,RID5863
anechoic,RID34360,RID6045
complex cystic and solid echogenicity,RID34361,RID6045
posterior acoustic feature,RID34362,RID6037
no posterior acoustic features,RID34363,RID34362
posterior acoustic enhancement,RID34364,RID34362
posterior acoustic shadowing,RID34365,RID34362
combined posterior acoustic pattern,RID34366,RID34362
vascularity not present or addressed,RID34375,RID5986
vascularity present immediately adjacent to lesion,RID34377,RID5986
diffusely increased vascularity in surrounding tissue,RID34378,RID5986
effect of mass on surrounding tissue,RID34379,RID43356
no effect of mass on surrounding tissue,RID34380,RID34379
intravenous pyelography,RID34403,RID13060
upper GI series,RID34423,RID13060
retrograde ureteropyelography,RID34424,RID13060
retrograde pyelography,RID34425,RID13060
barium enema,RID34426,RID13060
nephrotomography,RID34427,RID13060
scintigraphy,RID34428,RID10330
liver scan,RID34429,RID13060
cholecystography,RID34430,RID13060
bronchography,RID34431,RID13060
small bowel series,RID34432,RID13060
voiding urethrography,RID34433,RID43572
arteriography,RID34434,RID10371
pediatric,RID34492,RID5639
pregnant,RID34493,RID5639
neonatal,RID34494,RID5639
contraceptive device,RID34574,RID5425
intrauterine device,RID34575,RID34574
angiography attribute,RID34577,RID35976
automatic bolus tracking attribute,RID34578,RID10555
axial CT procedure attribute,RID34579,RID10581
balloon dilatation attribute,RID34580,RID11005
helical CT procedure attribute,RID34581,RID10581
breast implant,RID34710,RID28790
hyperacute,RID34779,RID5718
clinical finding,RID34785,RID1
spinal fusion,RID34797,RID1844
object,RID34861,RID1
cystography,RID34878,RID13060
retrograde ureterography,RID34879,RID13060
double-contrast barium enema,RID34880,RID34426
dual phase,RID35722,RID10370
colonography,RID35723,RID13060
diagnostic imaging,RID35725,RID13060
triple phase,RID35726,RID10370
apical projection,RID35727,RID10511
frontal and lateral projection,RID35729,RID10511
guidance,RID35732,RID1559
high resolution,RID35736,RID10370
low dose,RID35737,RID10370
mastoid region,RID35754,RID6062
discography,RID35767,RID13060
cisternography,RID35768,RID13060
pelvimetry,RID35772,RID48094
scanogram,RID35773,RID13060
nerve block,RID35774,RID1559
screw placement,RID35775,RID28707
Nanoknife,RID35776,RID35819
stereotactic localization,RID35777,RID28708
sub-diaphragm region,RID35778,RID6062
hypointense,RID35804,RID6049
hyperintense,RID35805,RID6049
fluid-attenuated inversion recovery,RID35806,RID10791
structure,RID35808,RID35977
thoracolumbar spine region,RID35809,RID36013
maxillofacial region,RID35812,RID6062
paracentesis,RID35813,RID10398
pericardiocentesis,RID35814,RID10398
thoracentesis,RID35815,RID10398
needle placement,RID35816,RID28707
oral contrast,RID35817,RID11582
rectal contrast,RID35818,RID49732
surgical equipment,RID35819,RID29033
follow-up procedure,RID35965,RID1559
research,RID35966,RID1559
limited imaging procedure,RID35967,RID13060
volume quantification,RID35968,RID48094
nursing procedure,RID35969,RID1559
read outside image,RID35970,RID1559
Xenon imaging with and without Diamox,RID35971,RID13060
pharmaceutical,RID35973,RID7479
imaging procedure property,RID35976,RID35977
property,RID35977,RID1
non-pathological condition appearing pathological,RID35979,RID36008
pseudopneumoperitoneum,RID35980,RID35979
probably not,RID36,RID29
benign finding,RID36008,RID34785
spinal region,RID36013,RID6062
multiple spinal levels,RID36014,RID36013
single spinal level,RID36015,RID36013
thin section,RID36016,RID28642
3D image processing,RID36017,RID12633
venipuncture,RID36018,RID49956
facet block,RID36019,RID1559
independent workstation status,RID36020,RID11221
independent workstation required,RID36021,RID36020
independent workstation not required,RID36022,RID36020
additional body region,RID36023,RID49780
additional spinal level,RID36024,RID49780
dental scan,RID36025,RID13060
typically benign,RID36038,RID5675
higher probability of malignancy,RID36039,RID5675
increased,RID36043,RID5683
decreased,RID36044,RID5683
almost certainly,RID38,RID29
not seen,RID38584,RID38770
unilateral,RID38593,RID5821
endovaginal coil,RID38596,RID10808
clip placement,RID38597,RID28707
physician requirement,RID38598,RID7480
requiring a physician,RID38599,RID38598
not requiring a physician,RID38600,RID38598
ultrasound-assisted venipuncture,RID38601,RID36018
vacuum-assisted biopsy,RID38602,RID49777
on call,RID38603,RID7480
iron evaluation,RID38606,RID38607
assessment procedure,RID38607,RID1559
assess treatment response,RID38608,RID38607
rotational angiography,RID38609,RID10371
access procedure,RID38610,RID1559
biopsy,RID38611,RID49838
dual-energy CT,RID38660,RID10321
more than 5,RID38661,RID5765
innumerable,RID38662,RID5765
diminished,RID38669,RID5772
clear,RID38670,RID39152
ionic high-osmolality monomeric iodinated contrast agent,RID38675,RID11585
diatrizoate,RID38676,RID38675
MD-76 R,RID38677,RID38676
Gastrografin,RID38678,RID38676
MD-Gastroview,RID38679,RID38676
Cystografin,RID38680,RID38676
Cystografin Dilute,RID38681,RID38676
Hypaque,RID38682,RID38676
iothalamate,RID38683,RID38675
Conray,RID38684,RID38683
Cysto-Conray II,RID38685,RID38683
Conray 30,RID38686,RID38683
Conray 43,RID38687,RID38683
ioxithalamate,RID38688,RID38675
Telebrix,RID38689,RID38688
Telebrix 350,RID38690,RID38689
metrizoate,RID38691,RID38675
Isopaque,RID38692,RID38691
ionic low-osmolality dimeric iodinated contrast agent,RID38693,RID11585
ioxaglate,RID38694,RID38693
Hexabrix,RID38695,RID38694
non-ionic iodinated contrast agent,RID38696,RID11583
non-ionic low-osmolality monomeric iodinated contrast agent,RID38697,RID38696
iobitrol,RID38698,RID38697
Xenetix,RID38699,RID38698
Xenetix-300,RID38700,RID38699
iohexol,RID38701,RID38697
Omnipaque,RID38702,RID38701
Omnipaque-140,RID38703,RID38702
Omnipaque-180,RID38704,RID38702
Omnipaque-240,RID38705,RID38702
Omnipaque-300,RID38706,RID38702
Omnipaque-350,RID38707,RID38702
iomeprol,RID38708,RID38697
iopamidol,RID38709,RID38697
Isovue,RID38710,RID38709
Isovue-128,RID38711,RID38710
Isovue-200,RID38712,RID38710
Isovue-250,RID38713,RID38710
Isovue-300,RID38714,RID38710
Isovue-370,RID38715,RID38710
Isovue-M,RID38716,RID38709
Isovue-M-200,RID38717,RID38716
Isovue-M-300,RID38718,RID38716
Iopamidol-370,RID38719,RID38709
iopentol,RID38720,RID38697
Imagopaque,RID38721,RID38720
Ivépaque,RID38722,RID38720
iopromide,RID38723,RID38697
Ultravist,RID38724,RID38723
Ultravist-150,RID38725,RID38724
Ultravist-240,RID38726,RID38724
Ultravist-300,RID38727,RID38724
Ultravist-370,RID38728,RID38724
ioversol,RID38729,RID38697
Optiray,RID38730,RID38729
Optiray-160,RID38731,RID38730
Optiray-240,RID38732,RID38730
Optiray-300,RID38733,RID38730
Optiray-320,RID38734,RID38730
Optiray-360,RID38735,RID38730
ioxilan,RID38736,RID38697
Oxilan,RID38737,RID38736
Oxilan-300,RID38738,RID38737
Oxilan-350,RID38739,RID38737
non-ionic iso-osmolar dimeric iodinated contrast agent,RID38740,RID38696
iodixanol,RID38741,RID38740
Visipaque,RID38742,RID38741
Visipaque-270,RID38743,RID38742
Visipaque-320,RID38744,RID38742
iotrolan,RID38745,RID38740
Isovist,RID38746,RID38745
phase descriptor,RID38747,RID7480
multiphase,RID38748,RID38747
single phase,RID38749,RID38747
ultra-high resolution,RID38752,RID10370
pre-endograft scan,RID38753,RID13060
post-endograft scan,RID38754,RID13060
4-dimensional CT,RID38755,RID10321
craniofacial body region,RID38756,RID6062
microcirculation,RID38757,RID28822
imaging protocol,RID38760,RID39128
not parallel,RID38769,RID5851
visibility descriptor,RID38770,RID7464
diffusion tensor imaging,RID38778,RID10312
neurography,RID38779,RID13060
advanced,RID38799,RID5683
alignment,RID38801,RID35977
anteverted,RID38806,RID5851
retroverted,RID38807,RID5851
anterolateral,RID38810,RID5817
asymptomatic,RID38811,RID5683
magnetic resonance cholangiopancreatography,RID38812,RID38813
cholangiopancreatography,RID38813,RID13060
color descriptor,RID38814,RID6
black,RID38815,RID38814
